"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8873","[TC_0205582] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount Limit % Menu Category","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","20685","[TC_0205373] Validate Logic when User can Move Item to Child Merge Table from Quick Service to Dine-In","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","6980","[TC_0205748] Validate Logic when User can select Ongoing Status All Promotions in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","0","[TC_0205006] Validate logic when user able to edit qty Menu Extra","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","1","[TC_0205019] Validate logic when user able to edit qty Menu Paket after Save Order > Increase Qty","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","6629","[TC_0205781] Validate Logic when User can sort Descending Event Subject in Branch Event List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","17538","[TC_0205371] Validate Logic when User can Move Item from Quick Service to Dine-In Parent Merge Table","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","10859","[TC_0205383] Validate Logic when User can undo Cancel Order before Save Order with button Cancel","chromium","2026-04-21","passed","2026-04-21","Quick Service Cancel Order","","",""
"","29031","[TC_0205407] Validate Logic When User Apply Promotion Head - Payment Pages - Discount % Menu Category","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive Before Discount","","",""
"","6956","[TC_0205732] Validate Logic when User can Sort Ascending Min. Subtotal Today's Promotions list in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","10307","[TC_0205320] Validate Logic When User Able To Add Menu Extra Special Price With Notes After Save","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","26562","[TC_0205455] Validate Logic When User Apply Promotion Head - Order Pages - Open Bill Dicount %","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive After Discount","","",""
"","1","[TCAT_OMS_CQSBO_0047] Validate Logic When User Able To Edit Qty Menu Extra Special Price","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","1","[TC_0205170] Validate Logic when User already Hold menu, user can Cancel Menu","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Cancel Menu","","",""
"","17513","[TC_0205264] Validate Logic When User Able To Add Menu Biasa","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","17687","[TC_0205329] Validate Logic when User can Move Item to the other order from Quick Service to Quick Service","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","22608","[TC_0205360] Validate Logic when User can Move Item to the filled table with a Menu selected from Quick Service to Dine-In","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","9608","[TC_0205588] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Open Bill Dicount Rp","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","9315","[TC_0205323] Validate logic when user cannot Move Table from Quick Service to Dine-In while table is not selected","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Table","","",""
"","8749","[TC_0205501] Validate Logic When User Apply Promotion Head - Order Pages - Discount Limit % Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","1","[TC_0205147] Validate Logic when User already Fire all menu, user can Cancel Table","chromium","2026-04-21","skipped","2026-04-21","Dine in Cancel Table","","",""
"","0","[TC_0205010] Validate logic button Apply Promo ketika user berhasil melakukan Apply Promo","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","13362","[TC_0206057] Validate Logic when user apply Compliment first and Other Voucher payment method, Other Voucher replaced total payment","chromium","2026-04-21","failed","2026-04-21","Payment Mix POS","","",""
"","6926","[TC_0205733] Validate Logic when User can Sort Descending Min. Subtotal Today's Promotions list in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","0","[TC_0205231] Validate Logic when User cannot Hold all menu after Save Order","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Hold Menu","","",""
"","19610","[TC_0206012] Validate Logic when user cannot apply Cash payment while not inputting any amount","chromium","2026-04-21","failed","2026-04-21","Payment Cash POS","","",""
"","0","[TC_0205158] Validate Logic when User cannot Merge Table with different Sales Mode","chromium","2026-04-21","skipped","2026-04-21","Dine in Merge Table","","",""
"","8391","[TC_0205318] Validate Logic When User Able To Delete Menu Extra Special Price After Save","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","0","[TC_0205172] Validate Logic when User already Fire menu, user can Cancel Menu","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Cancel Menu","","",""
"","9063","[TC_0205580] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount % Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","1","[TCAT_OMS_CQSBO_0009] Validate Logic When User Able To Delete Menu Extra before Save Order","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","0","[TCAT_OMS_CQSBO_0040] Validate Logic When User Able To Edit Qty Menu Open Price","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","3818","[TC_0202004] Validate Logic when User input Alphabet pin login","chromium","2026-04-20","passed","2026-04-20","Sign PIN","","",""
"","0","[TC_0205038] Validate Logic When User Able To Edit Qty Menu Paket Special Price","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Order Menu","","",""
"","0","[TC_0205198] Validate Logic when User cannot Move Item while not having access","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Item","","",""
"","8652","[TC_0205592] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - FREE ITEM MENU","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","9888","[TC_0205535] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Menu Discount Rp Menu Category","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","0","[TC_0205202] Validate Logic when User can Move Item to Parent Merge Table","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Item","","",""
"","19119","[TC_0205328] Validate Logic when User can Move Item to new Quick Service order from Quick Service to Quick Service","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","12012","[TC_0206053] Validate Logic when user mix Other Voucher, Cash, Compliment and Card payment method","chromium","2026-04-21","failed","2026-04-21","Payment Mix POS","","",""
"","8824","[TC_0205503] Validate Logic When User Apply Promotion Head - Order Pages - Menu Discount Rp Menu","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","101938","[TC_0205133] Validate Logic when User can Cancel Table before saving order","chromium","2026-04-21","broken","2026-04-21","Dine in Cancel Table","","",""
"","8624","[TC_0205529] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount % Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive Before Discount","","",""
"","0","[TC_0205176] Validate Logic when user cannot Move Table to the other filled table with different Table Section","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Move Table","","",""
"","19321","[TC_0205355] Validate Logic when User can Move Item from Quick Service to Dine-In other filled table with the same Sales Mode","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","20781","[TC_0205422] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Discount Bill Rp","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive Before Discount","","",""
"","9518","[TC_0205587] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - Menu Discount Rp Menu Category Detail","chromium","2026-04-21","passed","2026-04-21","Promotion Exclusive After Discount","","",""
"","1","[TC_0205226] Validate Logic when User cannot Link Table after Hold All the menu","chromium","2026-04-21","skipped","2026-04-21","Dine in Link Table","","",""
"","10207","[TC_0206050] Validate Logic when user can mix Cash, Card, and Compliment payment method","chromium","2026-04-21","failed","2026-04-21","Payment Mix POS","","",""
"","6835","[TC_0205738] Validate Logic when User can Sort Ascending Status Today's Promotions list in Promotion List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","0","[TC_0205151] Validate Logic when User can Merge Table with unordered table and filled table","chromium","2026-04-21","skipped","2026-04-21","Dine in Merge Table","","",""
"","9009","[TC_0205310] Validate Logic When User Able To Delete Menu Open Price Before Save","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","0","[TC_0205149] Validate Logic when User can Merge Table with empty table","chromium","2026-04-21","skipped","2026-04-21","Dine in Merge Table","","",""
"","24116","[TC_0205338] Validate Logic when User can Move Item to the empty order with a Menu selected from Quick Service to Quick Service","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","18640","[TC_0205376] Validate Logic when User can't Cancel Order before saving order","chromium","2026-04-21","passed","2026-04-21","Quick Service Cancel Order","","",""
"","0","[TCAT_OMS_CQSBO_0031] Validate Logic When User Able To Add Menu Biasa Special Price With Notes After Save","chromium","2026-04-21","skipped","2026-04-21","Quick Service Classic Add Order","","",""
"","23623","[TC_0206002] Validate Logic when user can use Cash as a payment method","chromium","2026-04-21","failed","2026-04-21","Payment Cash POS","","",""
"","9198","[TC_0205303] Validate Logic When User Able To Delete Menu Paket Special Price Before Save","chromium","2026-04-21","passed","2026-04-21","Quick Service Add Order","","",""
"","6651","[TC_0205783] Validate Logic when User can sort Descending Created By in Branch Event List sub-tab menu on Tools","chromium","2026-04-20","failed","2026-04-20","Tools","","",""
"","25313","[TC_0205437] Validate Logic When User Apply Promotion Head Then Cancel 1 Menu - Order Pages - FREE ITEM MENU CATEGORY","chromium","2026-04-21","passed","2026-04-21","Promotion Inclusive Before Discount","","",""
"","21854","[TC_0205359] Validate Logic when User can Move Item from Quick Service to Dine-In empty table with a Menu selected","chromium","2026-04-21","passed","2026-04-21","Quick Service Move Item","","",""
"","0","[TC_0205186] Validate Logic when User can Cancel Menu the Parent (Main) Split Bill","chromium","2026-04-21","skipped","2026-04-21","Ordering Dine In Cancel Menu","","",""
"","6803","[TC_0206060] Validate Logic When User Able To Payment With Non Sales Payment Using Promotion","chromium","2026-04-21","failed","2026-04-21","Payment Other Cost ","","",""
"","6897","[TC_0206061] Validate Logic When User Able To Payment With Non Sales Payment And Cash PaymentCash First Then Non Sales","chromium","2026-04-21","failed","2026-04-21","Payment Other Cost ","","",""
"","0","[TC_0205239] Validate logic POS when user edit Sales Mode within the Order Page after order menu","chromium","2026-04-21","skipped","2026-04-21","Transaction Edit Order","","",""
